"Blugento_Adminmenu::General Settings","Ustawienia główne"
"CMS Blocks","Bloki CMS"
"CMS Pages","Strony CMS"
"Customise Homepage","Dostosuj stronę główną"
"Data Feeds","Kanały danych"
"Display footer logos","Wyświetl stopki"
"General Settings","Ustawienia główne"
"Localizer","Lokalizator"
"Mage_Adminhtml::Configuration","Konfiguracja"
"Mage_Adminhtml::Content","Treść"
"Mage_Adminhtml::General Settings","Ustawienia główne"
"Mage_Adminhtml::Shortcuts","Skróty"
"Mage_Core::General Settings","Ustawienia główne"
"Sliders","Suwaki"
