Active on Products,Aktywny dla produktów
Add New Tab,Dodaj now? kart?
Add products codes/skus separated by comma.,Dodaj kody produktów/ SKU oddzielone przecinkiem
All Products,Wszystkie produkty
Back,Powrót
CMS Block,Bloki CMS
Created Date,Data usuni?cia
Content,Tre??
Content Type,Typ tre?ci
Content (Product Attribute),Tre?? (Cechy Produktu)
Content (Static Block),Tre?? (Bloki statyczne)
Custom Products,Produkty niestandardowe
Disabled,Wy??czone
Edit Tab,Edytuj kart?
Enabled,W??czone
General,Ogólne
Maximum 30 characters.,Maksymalnie 30 znaków.
Multitabs,Multi karty
New Tab,Nowa karta
Only digits. Maximum sort order allowed: 99,Tylko cyfry. Maksymalny dozwolony porzadek sortowania: 99
Product,Produkt
Product Attribute,Cecha produktu
Product Multitabs,Multi karty produktu
Product Reviews sort order is mandatory to have 99 value because of tabs design.,Porz?dek sortowania recenzji produktu ma obowiazkow? warto?? 99 z powodu projektu zak?adki.
Products Codes,Kody produktów
Reset,Resetuj
Reset Filter,Resetuj Filtr
Search,Szukaj
Select Store,Wybierz sklep
Sort Order,Porz?dek sortowania
Status,Status
Tab Name,Nazwa zak?adki
The tab was successfully deleted!,Karta zosta?a pomy?lnie usuni?ta!
The tab was successfully saved!,Karta zosta?a pomy?lnie zapisana!
You have to complete the products codes/skus!,Musisz uzupe?ni? kody produktów / sku!
