Enter Facebook Title,Wpisz Tytu? Facebook
Enter Facebook URL like https://www.facebook.com,Wpisz adres URL Facebook za https://www.facebook.com
Enter Flickr Title,Wpisz Tytu Flickr
Enter Flickr URL like https://www.flickr.com,Wpisz adres URL Flickr za https://www.flickr.com
Enter Google+ Title,Wpisz Tytu Google+ 
Enter Google+ URL like https://www.plus.google.com,Wpisz adres URL Google+ za https://www.plus.google.com
Enter Instagram Title,Wpisz Tytu Instagram
Enter Instagram URL like https://www.instagram.com,Wpisz adres URL Instagram za https://www.instagram.com
Enter LinkedIn Title,Wpisz Tytu LinkedIn
Enter LinkedIn URL like https://www.linkedin.com,Wpisz adres URL LinkedIn za https://www.linkedin.com
Enter Pinterest Title,Wpisz Tytu Pinterest
Enter Pinterest URL like https://www.pinterest.com,Wpisz adres URL Pinterest za https://www.pinterest.com
Enter Twitter Title,Wpisz Tytu Twitter
Enter Twitter URL like https://www.twitter.com,Wpisz adres URL Twitter za https://www.twitter.com
Enter TikTok Title,Wpisz Tytu TikTok
Enter TikTok URL like https://www.tiktok.com,Wpisz adres URL TikTok URL za ://www.tiktok.com
Enter YouTube Title,Wpisz Tytu YouTube
Enter YouTube URL like https://www.youtube.com,Wpisz adres URL YouTube za https://www.youtube.com
Facebook Media Buttons Settings,Facebook Ustawienia przycisk�w
Facebook Title,Facebook Tytu?
Flickr Media Buttons Settings,Flickr Ustawienia przycisk�w
Flickr Title,Flickr Tytu?
Google+ Media Buttons Settings,Google+ Ustawienia przycisk�w
Google+ Title,Google+ Tytu?
Instagram Media Buttons Settings,Instagram Ustawienia przycisk�w
Instagram Title,Instagram Tytu?
LinkedIn Media Buttons Settings,LinkedIn Ustawienia przycisk�w
LinkedIn Title,LinkedIn Tytu?
Pinterest Media Buttons Settings,Pinterest Ustawienia przycisk�w
Pinterest Title,Pinterest Tytu?
Twitter Media Buttons Settings,Twitter Ustawienia przycisk�w
Twitter Title,Twitter Tytu?
TikTok Media Buttons Settings,TikTok Ustawienia przycisk�w
TikTok Title,TikTok Tytu?
YouTube Media Buttons Settings,YouTube Ustawienia przycisk�w
YouTube Title,YouTube Tytu?
Share link,Udost?pnij link
Enable Page Share,W??cz opcje udostepniania strony
