"1 Column","1 Column"
"2 Columns","2 Columns"
"3 Columns","3 Columns"
"4 Columns","4 Columns"
"Add Widget","Add Widget"
"Are you sure you want to delete this row?","Are you sure you want to delete this row?"
"Clear Content","Clear Content"
"Delete this row","Delete this row"
"Drag & drop to reorder layout","Drag & drop to reorder layout"
"Edit Widget","Edit Widget"
"Homepage Manager","Homepage Manager"
"Insert row with four columns","Insert row with four columns"
"Insert row with one column","Insert row with one column"
"Insert row with three columns","Insert row with three columns"
"Insert row with two columns","Insert row with two columns"
