"Enable AjaxCart","Włącz AjaxCart"
"View cart & checkout","Zobacz koszyk i kasę"
"Continue shopping","Kontynuować zakupy"
"Please specify the product's option(s).","Podaj opcje produktu."
"View cart & checkout redirect to","Zobacz przekierowanie do koszyka i kasy"
"Cart Page","Strona koszyka"
"Checkout Page","Strona kasy"
"Enable Cart Item Delete Confirmation","Włącz potwierdzenie usunięcia elementu z koszyka"
"Enable to show simple product image instead of parent for configurable products","Umożliwia wyświetlanie prostego obrazu produktu zamiast elementu nadrzędnego dla produktów konfigurowalnych"
"The product has been added to your shopping cart","Produkt został dodany do koszyka"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten przedmiot z koszyka?"
"Enable Related Products Slider","Włącz suwak powiązanych produktów"
"Enable Upsell Products Slider","Włącz suwak produktów do wyższej sprzedaży"
