"--Select an option--","--Selectați o opțiune--"
"A label with this name already exist! You must choose another name.","O etichetă cu același nume există deja! Trebuie ales un alt nume."
"Categories","Categorii"
"Category Page","Pagina Categorie"
"Choose the categories where to apply the labels.","Selectați categoriile cărora să le fie aplicate etichetele."
"Create Custom Label","Adăugați Etichetă Personalizată"
"Created Date","Data Creării"
"Custom","Custom"
"Disabled","Dezactivat"
"Enable on Product Page","Activați pe Pagina Produsului"
"Enable on Category Page","Activați pe Pagina de Categorie"
"Enabled","Activat"
"General Informations","Generalități"
"Label Name","Denumire Etichetă"
"Label Model","Model Etichetă"
"Labels","Etichete"
"Name","Nume"
"New","New"
"New Label","Etichetă Nouă"
"No Model","Niciun Model"
"Please disable the other label before activate this one.","Vă rugăm dezactivați cealaltă etichetă înainte de activarea acesteia."
"Position on Product Image","Poziția pe Imaginea Produsului"
"Product","Produs"
"Product image positions:","Pozițiile pe imaginea produsului:"
"Product Labels","Etichete Produse"
"Product Page","Pagina Produs"
"Promo","Promo"
"Save And Continue Edit","Salvează și Continuă Editarea"
"Status","Status"
"Store Views","Vitrine"
"The image extension is invalid. Allowed extensions are: ","Extensia imaginii este invalidă. Extensiile permise sunt: "
"The image file is invalid! Please upload another image.","Fișierul încărcat este invalid! Vă rugăm încărcați altă imagine."
"The image must be smaller than 1 MB.","Imaginea trebuie să fie mai mică de 1 MB."
"Label was successfully deleted!","Eticheta a fost ștearsă cu succes!"
"The label was successfully saved!","Eticheta a fost salvată cu succes!"
"There is another label enabled of type ", "Există deja o etichetă activată de tipul "
"Type","Tip"
"Upload a Label Image","Incărcare Imagine Etichetă"
